Course-Sec,Activity,CRN,Course Name,Instructor,Day,Time,Location,Status,Waitlist
COE 233-02,LEC,23334,Digital Logic & Computer Organization,MOHAMED ELRABAA,UTR,0900-0950,59-2009,Open,Closed
COE 233-03,LEC,23335,Digital Logic & Computer Organization,HAZIM SELMI,UT,1230-1345,24-146,Closed,Closed
COE 233-04,LEC,23336,Digital Logic & Computer Organization,HAZIM SELMI,MW,1230-1345,22-130,Closed,Closed
COE 241-01,LEC,22117,Data and Computer Communications,ASHRAF MAHMOUD,UTR,0900-0950,24-116,Open,Closed
COE 292-01,LEC,23337,Introduction to Artificial Intelligence,ABDUL JABBAR SIDDIQUI,UTR,0800-0850,24-135,Open,Closed
COE 292-02,LEC,23338,Introduction to Artificial Intelligence,C KAMAL,UTR,0800-0850,22-132,Closed,Open
COE 292-03,LEC,23339,Introduction to Artificial Intelligence,TALAL AL-KHAROBI,UTR,0900-0950,24-135,Open,Closed
COE 292-04,LEC,23340,Introduction to Artificial Intelligence,C KAMAL,UTR,0900-0950,76-1124,Closed,Open
COE 292-05,LEC,23341,Introduction to Artificial Intelligence,ASHRAF MAHMOUD,UTR,1000-1050,23-011,Closed,Open
COE 292-06,LEC,23342,Introduction to Artificial Intelligence,AHMAD AKRAM,UTR,1000-1050,24-178,Closed,Open
COE 292-07,LEC,23343,Introduction to Artificial Intelligence,ABDUL JABBAR SIDDIQUI,UTR,1100-1150,59-1014,Closed,Open
COE 292-08,LEC,23344,Introduction to Artificial Intelligence,C KAMAL,UTR,1100-1150,76-1126,Closed,Open
COE 292-09,LEC,23345,Introduction to Artificial Intelligence,C KAMAL,UTR,1200-1250,24-178,Closed,Open
COE 292-10,LEC,23346,Introduction to Artificial Intelligence,RASHAD OTHMAN,UTR,1300-1350,59-1005,Closed,Open
COE 292-11,LEC,23347,Introduction to Artificial Intelligence,TALAL AL-KHAROBI,UTR,1000-1050,24-116,Closed,Closed
COE 292-12,LEC,23348,Introduction to Artificial Intelligence,AHMED AL-MULHEM,MW,0930-1045,59-2022,Closed,Open
